"","FR.1","FR.2","FR.3","AC.2","AC.3","CT.1","CT.2","CT.3","AR.1","AR.2","AR.3","LAR.1","LAR.2","LAR.3","DHA.1","DHA.2","DHA.3","DR.1","DR.2","DR.3","EFA.1","EFA.2","EFA.3","HF.1","HF.2","HF.3"
"1810008I18Rik",10.6261333634366,10.6539438797277,10.7666320954339,8.71390016083324,8.7175872778112,10.4971893885733,9.91562624420301,10.5447510779476,7.85211135574775,7.73373266711437,8.29363457241315,9.22311034637191,9.23951762996191,9.53445635508247,9.47244848861386,9.79527288835866,9.82955143395699,7.1927582308518,8.82033842129341,9.01694420711636,10.8433248165653,11.3056868336829,10.7730255419703,9.21286422340168,8.95941178363144,9.65639050908593
"Gdap10",5.5679985856094,5.73917912512129,5.57320466549412,6.08856518358869,5.31958172940391,6.29357523879319,5.10846191943002,5.72920707762812,7.17075726953465,7.08963357880643,6.29624329860643,6.62066237936993,5.43208608038497,5.6624402471447,6.368269432495,5.93535730053308,5.82952378670815,8.18515730298071,7.53769298811965,7.7906310450314,6.13503279824326,5.67123124704149,5.88460753639393,6.36700503761121,7.10768002040321,6.59691644874784
"9030425P06Rik",5.07981475432225,5.16396703168866,5.37774461704553,6.27974664875683,5.47402979672063,6.13774204408065,5.10942322186381,6.07184097801733,7.02883349571577,7.18885015340056,6.94767829684699,6.20102996724936,6.27605246819738,6.95762167503422,6.41518731856649,6.69464347366672,6.22074920824376,6.56452420913291,6.35072252311629,6.67712602741674,6.2888121905177,6.17110594731387,5.73512675954042,4.9623682573119,5.2340453141577,5.2974957528856
"N4bp2l1",8.78955628979582,8.68863352136775,8.06668889402416,9.08188253791262,8.67150630971399,8.83347690592537,8.28474994203465,8.55065562709022,8.94186004325324,9.11702262844596,9.50064251240111,9.06217372131102,8.9739476049591,7.91917179485889,8.7578591118503,8.00553342281828,7.62175481674009,10.2417037584384,9.56853329236475,9.88981396715316,7.77762790885519,8.33877685291161,7.82518327513669,8.18677571813691,8.54343928439467,8.95931461260373
"Spon2",6.79030123743313,5.87066475967135,6.99939142540016,6.26335966309268,6.24288978558753,6.31082324335839,6.47513886799368,6.94178286536692,6.49732806774266,6.1275114077199,6.46557600261171,5.96309427727383,5.98738481688025,6.27413902340898,6.22278088404438,6.32710816817107,6.1276150947061,5.20881909186183,5.27555881148663,4.59771019737147,6.64303784714465,6.83394195033382,6.30201636074383,6.35644840931756,6.05562025583165,6.23338750891934
"Gbp6",5.61120282842584,5.71452281379416,5.7782645036783,6.7380943572652,6.5621819907056,7.02016178570353,6.69045240864899,6.44419625617643,8.29150670390688,7.59393728407844,6.9823782209558,7.75301254141001,5.91800518589262,6.08645512712848,6.33502229794288,5.59434295343996,6.47816829602815,3.97240376628028,4.6604723933158,4.47916414862447,6.43864147552194,6.60063543468262,6.9958441155543,7.14591206777769,6.69232057812006,7.05087593740469
"Acacb",10.013370836553,9.92611903052627,10.4184084850059,7.57295644128347,7.77921817126701,8.57715227165155,9.17478924796634,9.87801186905115,7.20454321268224,7.74924828056474,7.02091028644018,8.12111088362642,8.06530740525952,8.31146837202011,8.00910675524626,9.27760238634707,8.50902982202012,7.57849277410055,8.05701027557817,8.23079418487263,10.005618993884,10.8183663408687,9.55751457425136,8.15758504018447,7.55736739007009,8.14974648961734
"AA409587",6.84448897741432,7.05906282054113,7.01371035318205,7.67176749332558,7.32445889440105,7.39566329315604,6.5705528491898,6.87118557033597,7.25615004008084,7.9202688484498,7.49274589760318,7.26689068523318,7.66501691238703,7.45838978682797,7.27798856984028,7.14038370428873,7.55868770367088,7.94789581823179,7.91627919898667,8.09080736611362,7.6416063513393,7.3149394685733,7.50376670248607,7.50133045446725,7.92636566446153,7.38142668682504
"Prkd2",5.10552069643341,5.28492717494735,5.28962682299318,4.61875452002434,4.90371735777671,5.03751622918161,5.5023397684034,5.35348749391866,5.73199817390827,5.51687051235731,5.20836356981188,5.00815832579149,4.72086459220472,4.74505351190243,4.78378006267091,5.26509815602983,5.32974512236781,4.28302244272787,4.24790860313895,4.26913466947436,5.02235448999549,5.28051127391581,5.22175719473123,5.21133451765315,5.01786019532716,5.27812154473909
"Ccp110",3.9979668081567,3.67989942811214,3.17507712715857,5.08834842786119,3.72535715955053,3.97804619931664,4.67880873010626,4.55768122938648,5.35619355601126,5.2726376338147,4.60135237037257,4.55277461935728,3.95222212193397,3.91104176446176,3.76268602794374,4.11317803334656,4.39160815927494,6.30285762496864,5.93357688866389,5.31724563745752,4.54022504252697,4.5638011407215,4.86657247277774,4.7090925846604,4.51343972805785,4.34925053422544
