"","FR.1","FR.2","FR.3","AC.2","AC.3","CT.1","CT.2","CT.3","AR.1","AR.2","AR.3","LAR.1","LAR.2","LAR.3","DHA.1","DHA.2","DHA.3","DR.1","DR.2","DR.3","EFA.1","EFA.2","EFA.3","HF.1","HF.2","HF.3"
"1424607_a_at",7.70723479665334,8.29208156626752,7.94052238478137,9.17622024767969,8.5951085090492,8.37736022915761,7.48450642573218,8.1352811342085,9.48821586589763,10.1401210416522,9.52109761434692,8.91755476244628,9.97666906260729,9.35860605937153,8.76346342213291,8.70812799328212,8.70940228174507,9.90397880587999,9.54073699571538,10.2696132394684,8.7107004030141,8.5591659534725,8.87464057351598,8.59500242517018,9.03927267015402,8.60640539850516
"1434067_at",3.97609580026975,3.64019811915971,3.97115239284571,3.61251170148299,3.41675719435204,4.01011479876122,4.43348377459919,4.59311576673237,4.69048221833514,4.32860389638681,4.63276801165811,3.85836422085011,3.74623501916586,3.5745247013646,4.03668502656647,4.45912272389664,3.73705769654455,3.44793061093706,4.33069087217082,3.39212069862387,4.17160699639373,5.12292535133589,4.56664982978694,3.99414210446921,4.5487469976487,4.41734952834515
"1431566_at",5.83376376342258,5.94085005084194,5.80027276835741,6.40281318387986,6.21691569985311,6.61386252699815,6.4119615329591,6.1972504441876,6.43292410572694,6.42462825001599,6.1721559716559,6.18370435608096,5.79653552869457,6.17923811443691,6.00333018720909,6.2949668513002,6.29610930951071,5.77728026861924,5.560006088012,5.8247034083957,5.7820131842833,6.01262993287948,6.38433559065791,6.12788521590826,5.98901072556669,6.07108283688589
"1427320_at",4.80129853836247,5.02584904362257,3.90441249165082,5.96220440629984,4.28486114327376,5.49952430318437,4.84931323944325,4.26756267174422,5.37512987595751,4.73112608185473,5.85213117575335,4.46946658454149,4.80050256481525,4.34728923555915,4.77756825634742,5.44416095331345,3.90237763845955,5.07831954001867,5.24298711332234,5.14617971360289,5.35060914921686,5.24318978356291,5.4758257405317,5.14091074083511,4.63890437384554,5.2351088696548
"1446258_at",6.21876963703137,6.1836522389274,6.43341864875187,5.56956177919571,5.62248158564957,5.34888117337341,6.0384101097375,5.89714032938937,5.64786301502397,5.95348351550465,5.80427828414621,6.14658033516645,6.02994951829846,6.88837866038594,6.23510710954799,6.98531317035061,6.60018584181464,5.55810887405076,5.40861812950093,5.75722425754491,5.9209678541667,6.30947242992591,6.00405076245377,5.8785962666444,5.78137447678236,5.79786909694272
"1437453_s_at",7.26659572317689,7.06776339285125,7.26879080085783,4.99688495174949,5.21413436511162,7.02570095338521,6.99139108863189,7.33954465878638,5.47564375681942,6.0013384281943,5.81909650093383,6.87962314369804,6.94047704981966,7.19911731686288,6.9161084126691,7.09090081664061,6.72607329028785,6.16240065851879,7.73474887971215,7.32034837343493,7.27451262076017,7.53843731875974,7.76977210876673,7.20110420852052,7.32623263608614,7.23812008298369
"1440254_at",8.00883693110186,8.34632570518848,8.45921284034749,8.10245970195175,7.5992095412802,9.01867966834115,8.35923431378425,8.31641342273791,8.22023341849266,8.43925504612366,8.78953055068341,8.40137256261494,7.88619171263961,8.25786190021153,8.42103803441308,8.90361370615957,8.83582586444393,8.47974685601201,8.15392387854182,8.45484072840727,8.78550596835466,8.42286254982866,8.7169100830498,7.64081738752136,7.33377330938858,7.91177257934313
"1440344_at",3.01666645206231,2.6974508196768,2.4425844047991,3.43936234318172,2.87481822292498,3.24976786229945,3.12281158285146,3.38063604452417,3.22564328336759,3.74350063909905,3.19141953579773,2.84650072697101,2.6974508196768,2.9714689842804,2.65097346410225,2.82204624383582,2.80820788703595,3.88712420085578,3.39156429958774,3.81019178963151,3.60106347405092,4.13463842992296,3.6194607476695,2.57339600358302,2.619093889173,3.18624775939141
"1439283_at",5.87221415744313,5.85386164163166,6.26419589206037,6.14120422768072,5.72450965727571,6.35200908736822,5.92847035023361,5.64182529835895,6.25977858375906,6.66960037682182,6.45167268525247,5.89711589892197,6.09274179440825,6.39120836316497,6.10260160891361,6.38477566939283,6.757563122614,5.83253999086651,6.02754202203206,6.37906994149507,6.01215609128708,6.08996146117777,6.25406715723715,6.00501344918582,5.72820829295113,5.75361509207288
"1446846_at",3.22895891901821,3.71733536152884,3.55243130728739,3.7117907170332,3.30441477341404,3.43457308836391,3.30260455863866,3.53922943051965,2.88272943978834,3.15605285751434,3.06424096385564,3.55003056913252,3.61581226615652,3.2828370701813,2.90794234040283,3.32582439703013,3.27194624586704,2.90794234040283,2.80642901702743,3.40969132981438,3.42985585867793,3.4625062300904,2.84708207331288,3.27098356508936,3.30260455863866,3.63162129642053
"1440450_at",2.74672960486326,3.04307853921257,2.72388687216343,2.85515832495755,2.82924949260948,3.21944050285317,3.06852944513813,2.78418953336533,2.83467244065105,3.05494539817263,3.07815653671813,3.14255315973782,3.05096134462842,3.33128898850802,2.87805551134347,3.63891468670915,2.99722513522291,3.42043792291683,2.95969832000528,3.36531866520781,2.97382504459361,3.32289452914865,2.92694210138691,3.50109103467146,3.4046891847733,2.8313098891183
"1430338_at",3.58220913342732,3.23175060091772,2.90486350782074,3.73689417004808,3.06006647873568,3.19983191431618,3.35293890942718,3.15403012840627,3.13782551291639,3.36158177161069,3.81680998205409,3.58220913342732,3.5977366329184,3.32907465165181,2.97836019470897,3.35510267626054,3.51700872479311,3.52553736942824,3.01768904536111,3.07182815877353,4.12558853096118,3.30055773507069,3.88662695689261,3.27204081848958,3.17060380732563,2.7215843434467
"1446130_at",4.41969330045954,4.88969524747983,5.03267772207905,4.71878461436529,4.45965511542259,4.55783120321195,4.59149699551733,5.09966619098487,4.55927470228802,5.08499159626552,5.23185715988523,4.60653583934502,4.98781470130804,5.31073915001024,4.92869508979622,5.10456374365771,5.31542714212987,4.96259309525206,4.65451738515823,4.82969543705091,5.12167916695492,5.0376396960316,5.04387464130068,5.0038636159308,4.63125728790062,4.51305131971911
"1430477_s_at",5.22027988785273,5.56592892007138,5.70124261860725,5.0050653889834,5.57840987372404,5.39918992384051,5.23317950748239,4.83932034852163,5.03948748018548,4.80838281386357,4.87494884550028,5.5276820097303,6.02739321688095,5.40914059974267,5.67123124704149,5.13288935944804,5.48574686582477,5.56618085466002,5.23347409797579,5.49947001353775,5.15298723063857,4.95809307400864,4.57410564215988,4.85540809161196,4.99254279534335,5.61228595410812
"1442584_at",4.19550475451658,3.70384544297232,3.52368890106936,4.21637073791763,4.09461376225871,4.35731238475723,4.51251437565139,4.26043290029445,4.02838557046074,4.52640270141273,3.50822654624027,3.90937417151417,3.9164634666707,3.90199873631578,3.83341658906222,3.93489033050099,4.18638152108374,4.16991833037262,3.53641097887941,3.67736402822948,3.4889031530709,3.57869602119485,4.03743249033287,4.41952507014859,4.32983787063372,4.14362359221036
"1433645_at",9.606527741427,9.48449443891608,9.58046855086527,9.28859163729412,9.29015151156819,9.33233904458125,9.47069114499856,9.81680569159146,9.30360875585715,9.29030974155985,9.4244042687806,9.32269926934863,9.27888696113003,9.4030036868523,9.19280067874987,9.3010349454607,9.10952901451112,8.05408900500242,8.61470182474227,8.5219378367047,9.36262826860539,9.90218212255198,9.77936561856417,8.93167677862599,8.67860491740729,8.9405992354598
"1456974_at",5.36709110557372,6.21906727285351,6.54596553980936,6.08644713817221,4.44292757485872,5.8274145349281,6.32898014621881,6.21523253161929,5.39076039462133,4.21633090651064,4.19748363305947,5.61641301362949,5.7107542334034,6.15534452059083,5.56869093970876,5.69390562476822,6.72511440901951,4.13223355483809,3.93317822816155,4.07983408794111,6.05231722903746,6.64137473758802,6.31248991221997,5.44342672552703,4.68338694258317,4.81320285257195
"1427167_at",4.11414490369481,3.66209879204837,3.3556094071239,3.68501947020988,3.71025163530021,3.55855171245927,4.34112403250947,5.55129560865254,4.19318817723706,4.20232987322566,3.6194607476695,3.53032448723583,3.69829044865367,3.30373801331343,3.59873495612056,4.59149699551733,3.55872073314165,3.78486391857105,4.18071648567107,3.40044331927557,3.43108824343542,4.27379796003845,3.97266218803601,4.25684626813588,3.64857733480403,3.45858677404241
"1429767_at",4.18177108768359,4.2480089062964,4.07754460090702,4.7987223255513,4.50439768276355,4.72285159852253,4.15719550954132,3.86472530404559,4.71203700719099,4.8416017424824,4.95248145647242,4.5010730199979,3.97071379826752,4.52042134481535,3.72099400148609,4.39344619778569,4.35949885952321,4.72642015504658,4.25605026990528,4.79608741169367,4.89995307638902,4.2554523198338,5.12351424192968,4.96141569940978,4.67788953654117,4.21830632811953
"1439071_at",5.04758124905949,5.1810739073637,5.11156046948022,5.48871585802646,5.12507716304527,5.4446042967141,5.39161805750453,4.81741406568889,5.76315372671811,5.23315140431152,5.47333023913059,5.37571650377289,4.69436331546427,4.68271877033608,4.83228237969666,5.04035218405667,4.91874524681667,5.09910930977463,4.6604723933158,4.96554961854344,5.38409366955994,4.72821501679286,5.59152468757884,5.31668918927258,5.35348749391866,5.43075244219659
"1443048_at",4.75404635238319,5.04944139676166,5.0672757997843,4.91466774029984,5.15471115743052,5.30673358328839,4.80857034512881,4.41263879346828,4.79509405775314,4.60118887395611,5.09801212009889,4.5807228030172,5.08180003880233,5.34489498616914,4.73113458083949,4.45605523942231,5.61144013922656,4.84178237807478,4.87328951773268,4.6233931847124,4.99397537582638,4.68575760598455,4.91521370654445,4.96059441710581,4.3711912496371,4.2959916363459
"1436796_at",4.24117087326138,4.46083722898607,4.24317339284756,4.44332414108239,4.14670976754087,4.37733087590162,4.3743939077931,4.29448757431411,4.76553346160701,4.52240017670156,5.07813433749252,4.58060554257146,4.11187997989198,4.51130334290083,4.02752009998771,3.65190752529885,3.92684715974152,5.82512528210171,4.50534313917432,4.68053464396341,4.57687242910262,4.24376106164636,4.88005259421773,3.80878407706568,4.01009640985613,4.08763163330167
"1443908_at",7.34641257471374,7.22526873691024,7.40807830359114,7.4685134788209,7.07956592277113,7.32822882053342,7.24496647017013,7.36231018583937,7.59570923869193,7.41070450747487,7.72835408959617,7.51070365854791,7.09689602313257,7.15395127653738,6.85819942951094,6.96180402920771,6.91376264607942,5.76579523598983,5.63651959236277,5.93851696332754,7.59344483587987,7.68528101378021,7.65781517952302,7.60985980567711,7.36517867358017,7.43204005789256
"1431340_a_at",4.20039233459409,4.66938263814549,4.28738931127705,4.84809897262261,4.07409293493746,4.82372666405192,4.58200550362665,4.60364715922319,4.67587528578177,4.14253891309083,4.30918629298455,4.7286931505049,3.88277938315985,4.04020458216869,4.26914082469456,4.67904756561281,4.41545409238045,4.20174755578389,5.4300761928426,5.00677415336113,4.4312284862132,4.57952619982493,4.74228481033652,4.39476529172855,4.28448300567742,4.22875759600265
