"","CTvsFR","CTvsAC","CTvsAR","CTvsDHA","CTvsDR","CTvsEFA","CTvsHF","CTvsLAR"
"AC",0,1,0,0,0,0,0,0
"AR",0,0,1,0,0,0,0,0
"CT",-1,-1,-1,-1,-1,-1,-1,-1
"DHA",0,0,0,1,0,0,0,0
"DR",0,0,0,0,1,0,0,0
"EFA",0,0,0,0,0,1,0,0
"FR",1,0,0,0,0,0,0,0
"HF",0,0,0,0,0,0,1,0
"LAR",0,0,0,0,0,0,0,1
